country_code,state_code,zipcode,city,rate_perc,tax_name,Tax Class
US,CA,95033,LOS GATOS,0.0925,CA State Tax,
US,CA,95035,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95036,MILPITAS,0.09375,CA State Tax,
US,CA,95037,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95038,MORGAN HILL TBID,0.09125,CA State Tax,
US,CA,95039,MONTEREY COUNTY TOURISM IMPROVEMENT DISTRICT,0.0775,CA State Tax,
US,CA,95041,SANTA CRUZ COUNTY TOURISM MARKETING DISTRICT,0.09,CA State Tax,
US,CA,95042,SANTA CLARA CO LOCAL TAX SL,0.09125,CA State Tax,
US,CA,95043,SAN BENITO COUNTY DISTRICT TAX SP,0.0825,CA State Tax,
US,CA,95044,SANTA CLARA CO LOCAL TAX SL,0.09125,CA State Tax,
US,CA,95045,SAN JUAN BAUTISTA,0.09,CA State Tax,
US,CA,95046,MORGAN HILL TBID,0.09125,CA State Tax,
US,CA,95050,SAN JOSE HOTEL BUSINESS IMPROVEMENT DISTRICT (ZONE B),0.09375,CA State Tax,
US,CA,95051,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95052,SANTA CLARA,0.09125,CA State Tax,
US,CA,95053,SANTA CLARA,0.09125,CA State Tax,
US,CA,95054,SANTA CLARA COMMUNITY FACILITIES DISTRICT STJ,0.09125,CA State Tax,
US,CA,95055,SANTA CLARA,0.09125,CA State Tax,
US,CA,95056,SANTA CLARA COMMUNITY FACILITIES DISTRICT STJ,0.09125,CA State Tax,
US,CA,95060,SCOTTS VALLEY,0.0975,CA State Tax,
US,CA,95061,SANTA CRUZ,0.0925,CA State Tax,
US,CA,95062,SANTA CRUZ,0.0925,CA State Tax,
US,CA,95063,SANTA CRUZ,0.0925,CA State Tax,
US,CA,95064,SANTA CRUZ,0.0925,CA State Tax,
US,CA,95065,SANTA CRUZ,0.0925,CA State Tax,
US,CA,95066,SCOTTS VALLEY,0.0975,CA State Tax,
US,CA,95067,SCOTTS VALLEY,0.0975,CA State Tax,
US,CA,95070,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95071,SARATOGA,0.09125,CA State Tax,
US,CA,95073,SANTA CRUZ COUNTY TOURISM MARKETING DISTRICT,0.09,CA State Tax,
US,CA,95075,SAN BENITO COUNTY DISTRICT TAX SP,0.0825,CA State Tax,
US,CA,95076,WATSONVILLE,0.0925,CA State Tax,
US,CA,95077,WATSONVILLE,0.0925,CA State Tax,
US,CA,95101,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95103,SAN JOSE HOTEL BUSINESS IMPROVEMENT DISTRICT  (ZONE A),0.09375,CA State Tax,
US,CA,95106,SAN JOSE HOTEL BUSINESS IMPROVEMENT DISTRICT  (ZONE A),0.09375,CA State Tax,
US,CA,95108,SAN JOSE HOTEL BUSINESS IMPROVEMENT DISTRICT  (ZONE A),0.09375,CA State Tax,
US,CA,95109,SAN JOSE HOTEL BUSINESS IMPROVEMENT DISTRICT  (ZONE A),0.09375,CA State Tax,
US,CA,95110,SAN JOSE HOTEL BUSINESS IMPROVEMENT DISTRICT (ZONE B),0.09375,CA State Tax,
US,CA,95111,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 1,0.09375,CA State Tax,
US,CA,95112,SAN JOSE HOTEL BUSINESS IMPROVEMENT DISTRICT (ZONE B),0.09375,CA State Tax,
US,CA,95113,SAN JOSE HOTEL BUSINESS IMPROVEMENT DISTRICT  (ZONE A),0.09375,CA State Tax,
US,CA,95115,SAN JOSE HOTEL BUSINESS IMPROVEMENT DISTRICT  (ZONE A),0.09375,CA State Tax,
US,CA,95116,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 1,0.09375,CA State Tax,
US,CA,95117,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95118,SAN JOSE HOTEL BUSINESS IMPROVEMENT DISTRICT  (ZONE A),0.09375,CA State Tax,
US,CA,95119,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95120,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95121,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95122,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 1,0.09375,CA State Tax,
US,CA,95123,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 1,0.09375,CA State Tax,
US,CA,95124,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95125,SAN JOSE HOTEL BUSINESS IMPROVEMENT DISTRICT  (ZONE A),0.09375,CA State Tax,
US,CA,95126,SAN JOSE HOTEL BUSINESS IMPROVEMENT DISTRICT (ZONE B),0.09375,CA State Tax,
US,CA,95127,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95128,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 1,0.09375,CA State Tax,
US,CA,95129,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95130,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95131,SAN JOSE HOTEL BUSINESS IMPROVEMENT DISTRICT (ZONE B),0.09375,CA State Tax,
US,CA,95132,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95133,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 1,0.09375,CA State Tax,
US,CA,95134,SAN JOSE HOTEL BUSINESS IMPROVEMENT DISTRICT (ZONE B),0.09375,CA State Tax,
US,CA,95135,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95136,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95138,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95139,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95140,SANTA CLARA CO LOCAL TAX SL,0.09125,CA State Tax,
US,CA,95141,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95148,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95150,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95151,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95152,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95153,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95154,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95155,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 1,0.09375,CA State Tax,
US,CA,95156,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95157,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95158,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95159,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 1,0.09375,CA State Tax,
US,CA,95160,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95161,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95164,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95170,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95172,SAN JOSE HOTEL BUSINESS IMPROVEMENT DISTRICT  (ZONE A),0.09375,CA State Tax,
US,CA,95173,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95190,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95191,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 1,0.09375,CA State Tax,
US,CA,95192,SAN JOSE HOTEL BUSINESS IMPROVEMENT DISTRICT  (ZONE A),0.09375,CA State Tax,
US,CA,95193,SAN JOSE CONVENTION CENTER FACILITY DISTRICT ZONE 2,0.09375,CA State Tax,
US,CA,95194,SAN JOSE HOTEL BUSINESS IMPROVEMENT DISTRICT  (ZONE A),0.09375,CA State Tax,
US,CA,95196,SAN JOSE HOTEL BUSINESS IMPROVEMENT DISTRICT  (ZONE A),0.09375,CA State Tax,
US,CA,95201,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95202,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95203,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95204,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95205,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95206,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95207,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95208,SAN JOAQUIN CO LOCAL TAX SL,0.0775,CA State Tax,
US,CA,95209,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95210,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95211,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95212,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95213,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95214,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95215,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95219,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95220,SAN JOAQUIN CO LOCAL TAX SL,0.0775,CA State Tax,
US,CA,95221,ANGELS CAMP,0.0775,CA State Tax,
US,CA,95222,ANGELS CAMP,0.0775,CA State Tax,
US,CA,95223,ALPINE,0.0725,CA State Tax,
US,CA,95224,CALAVERAS,0.0725,CA State Tax,
US,CA,95225,CALAVERAS,0.0725,CA State Tax,
US,CA,95226,CALAVERAS,0.0725,CA State Tax,
US,CA,95227,SAN JOAQUIN CO LOCAL TAX SL,0.0775,CA State Tax,
US,CA,95228,CALAVERAS,0.0725,CA State Tax,
US,CA,95229,CALAVERAS,0.0725,CA State Tax,
US,CA,95230,STANISLAUS CO LOCAL TAX SL,0.07875,CA State Tax,
US,CA,95231,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95232,CALAVERAS,0.0725,CA State Tax,
US,CA,95233,CALAVERAS,0.0725,CA State Tax,
US,CA,95234,SAN JOAQUIN CO LOCAL TAX SL,0.0775,CA State Tax,
US,CA,95236,SAN JOAQUIN CO LOCAL TAX SL,0.0775,CA State Tax,
US,CA,95237,SAN JOAQUIN CO LOCAL TAX SL,0.0775,CA State Tax,
US,CA,95240,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95241,LODI,0.0825,CA State Tax,
US,CA,95242,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95245,CALAVERAS,0.0725,CA State Tax,
US,CA,95246,CALAVERAS,0.0725,CA State Tax,
US,CA,95247,CALAVERAS,0.0725,CA State Tax,
US,CA,95248,CALAVERAS,0.0725,CA State Tax,
US,CA,95249,CALAVERAS,0.0725,CA State Tax,
US,CA,95251,CALAVERAS,0.0725,CA State Tax,
US,CA,95252,SAN JOAQUIN CO LOCAL TAX SL,0.0775,CA State Tax,
US,CA,95253,SAN JOAQUIN CO LOCAL TAX SL,0.0775,CA State Tax,
US,CA,95254,CALAVERAS,0.0725,CA State Tax,
US,CA,95255,CALAVERAS,0.0725,CA State Tax,
US,CA,95257,CALAVERAS,0.0725,CA State Tax,
US,CA,95258,SAN JOAQUIN CO LOCAL TAX SL,0.0775,CA State Tax,
US,CA,95267,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95269,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95296,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95297,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95301,ATWATER,0.0825,CA State Tax,
US,CA,95303,MERCED CO LOCAL TAX SL,0.0775,CA State Tax,
US,CA,95304,TRACY,0.0825,CA State Tax,
US,CA,95305,TUOLUMNE CO LOCAL TAX SL,0.0725,CA State Tax,
US,CA,95306,MARIPOSA COUNTY DISTRICT TAX SP,0.0775,CA State Tax,
US,CA,95307,CERES,0.08375,CA State Tax,
US,CA,95309,TUOLUMNE CO LOCAL TAX SL,0.0725,CA State Tax,
US,CA,95310,TUOLUMNE CO LOCAL TAX SL,0.0725,CA State Tax,
US,CA,95311,MARIPOSA COUNTY DISTRICT TAX SP,0.0775,CA State Tax,
US,CA,95312,MERCED CO LOCAL TAX SL,0.0775,CA State Tax,
US,CA,95313,STANISLAUS CO LOCAL TAX SL,0.07875,CA State Tax,
US,CA,95315,MERCED CO LOCAL TAX SL,0.0775,CA State Tax,
US,CA,95316,TURLOCK,0.08625,CA State Tax,
US,CA,95317,MERCED CO LOCAL TAX SL,0.0775,CA State Tax,
US,CA,95318,MARIPOSA COUNTY DISTRICT TAX SP,0.0775,CA State Tax,
US,CA,95319,MODESTO,0.07875,CA State Tax,
US,CA,95320,ESCALON,0.0775,CA State Tax,
US,CA,95321,MARIPOSA COUNTY DISTRICT TAX SP,0.0775,CA State Tax,
US,CA,95322,GUSTINE,0.0825,CA State Tax,
US,CA,95323,STANISLAUS CO LOCAL TAX SL,0.07875,CA State Tax,
US,CA,95324,STANISLAUS CO LOCAL TAX SL,0.07875,CA State Tax,
US,CA,95325,MARIPOSA COUNTY DISTRICT TAX SP,0.0775,CA State Tax,
